,MC_id,aggregatedFamily_x,productFamily,seasonCode,MC_name,productCategory,productType_x,season_description,PVP,cost,net_purchase,gross_purchase_x,specialStyle,lifeCycle_x,typeOfStore_x,phaseInDate,phaseInMonth,numericColor,colorSpecificationEsp_x,agrupColorEng_x,colorGroupSpecificationEnglish,fabric_x,FashionDegree,DQ_Length_x,DQ_Size,DQ_Neck_x,DQ_Structure_Plana_desc,DQ_Structure_Knit_x,DQ_Sleeve_Length,DQ_Filling,DQ_Waist,DQ_Fitting_x,DQ_Closing,DQ_Fabric_type,DQ_Cane,DQ_Heel_Shape,DQ_Shoe_Toe,DQ_Fantasy,DQ_Print,composition,long_description,phaseInYear_x,numStores,spanningChristmas_x,spanningBlackFriday_x,sameFamily_x,sameFamilyPrice_x,sameFamilyColour_x,sameFamilyPriceColour_x,maxProductFamilyPVP,minProductFamilyPVP,medianProductFamilyPVP,numSizes_x,net_sales_all_x,gross_sales_all,net_revenue_all_x,gross_revenue_all,net_sales_mango,gross_sales_mango,net_revenue_mango,gross_revenue_mango,net_sales_first_1_weeks,net_sales_first_2_weeks,net_sales_first_3_weeks,net_sales_first_4_weeks,net_sales_first_5_weeks,net_sales_first_6_weeks,net_sales_first_7_weeks,net_sales_first_8_weeks,net_sales_first_9_weeks,net_sales_first_10_weeks,net_sales_first_11_weeks,net_sales_first_12_weeks,net_sales_first_13_weeks,net_sales_first_14_weeks,net_sales_first_15_weeks,net_sales_first_16_weeks,net_sales_first_17_weeks,net_sales_first_18_weeks,net_sales_first_19_weeks,net_sales_first_20_weeks,aggregatedFamily_y,productType_y,gross_purchase_y,lifeCycle_y,typeOfStore_y,colorSpecificationEsp_y,agrupColorEng_y,fabric_y,DQ_Length_y,DQ_Neck_y,DQ_Structure_Knit_y,DQ_Fitting_y,phaseInYear_y,spanningChristmas_y,spanningBlackFriday_y,sameFamily_y,sameFamilyPrice_y,sameFamilyColour_y,sameFamilyPriceColour_y,numSizes_y,net_sales_all_y,net_revenue_all_y,number_of_channel1_stores,number_of_channel2_stores,success_rate,period,season_number,rprice_difference_with_min,rprice_difference_with_median,rprice_difference_with_max,binary_specialstyle,aggregatedFamily_net_sales_year_prior_no_nulls_round,aggregatedFamily_average_net_sales_year_prior_no_nulls_round,aggregatedFamily_proportion_net_sales_year_prior_no_nulls_round,productType_net_sales_year_prior_no_nulls_round,productType_average_net_sales_year_prior_no_nulls_round,productType_proportion_net_sales_year_prior_no_nulls_round,fabric_net_sales_year_prior_no_nulls_round,fabric_average_net_sales_year_prior_no_nulls_round,fabric_proportion_net_sales_year_prior_no_nulls_round,colorSpecificationEsp_net_sales_year_prior_no_nulls_round,colorSpecificationEsp_average_net_sales_year_prior_no_nulls_round,colorSpecificationEsp_proportion_net_sales_year_prior_no_nulls_round,agrupColorEng_net_sales_year_prior_no_nulls_round,agrupColorEng_average_net_sales_year_prior_no_nulls_round,agrupColorEng_proportion_net_sales_year_prior_no_nulls_round,DQ_Length_net_sales_year_prior_no_nulls_round,DQ_Length_average_net_sales_year_prior_no_nulls_round,DQ_Length_proportion_net_sales_year_prior_no_nulls_round,DQ_Fitting_net_sales_year_prior_no_nulls_round,DQ_Fitting_average_net_sales_year_prior_no_nulls_round,DQ_Fitting_proportion_net_sales_year_prior_no_nulls_round,DQ_Structure_Knit_net_sales_year_prior_no_nulls_round,DQ_Structure_Knit_average_net_sales_year_prior_no_nulls_round,DQ_Structure_Knit_proportion_net_sales_year_prior_no_nulls_round,Dq_Neck_net_sales_year_prior_no_nulls_round,Dq_Neck_average_net_sales_year_prior_no_nulls_round,Dq_Neck_proportion_net_sales_year_prior_no_nulls_round,aggregatedFamily_ranking_of_sales,fabric_ranking_of_sales,colorSpecificationEsp_ranking_of_sales,agrupColorEng_ranking_of_sales,DQ_Length_ranking_of_sales,DQ_Fitting_ranking_of_sales,DQ_Structure_Knit_ranking_of_sales,Dq_Neck_ranking_of_sales,productType_ranking_of_sales,cos_of_day_of_year,sin_of_day_of_year,total_similarity_score_similar,weighted_average_net_sales_all_recmm_similar,weighted_average_net_sales_by_gross_purchasse_recmm_similar,weighted_average_sales_by_lifecylce_recmm_similar,weighted_average_sales_by_pvp_recmm_similar,weighted_average_rsales_by_chan2_num_stores_recmm_similar,weighted_average_rsales_by_chan1_num_stores_recmm_similar,weighted_average_spanningChristmas_recmm_similar,weighted_average_spanningBlackFriday_recmm_similar,weighted_average_binary_specialstyle_recmm_similar,weighted_average_productType_net_sales_year_prior_no_nulls_round_recmm_similar,weighted_average_fabric_net_sales_year_prior_no_nulls_round_recmm_similar,weighted_average_colorSpecificationEsp_net_sales_year_prior_no_nulls_round_recmm_similar,weighted_average_sales_by_pvp_dif_with_median_recmm_similar,weighted_average_sales_by_pvp_dif_with_min_recmm_similar
7993,87050571-56,Dresses,Dresses,T8,Dress-SEOUL,"Dresses, jumpsuits and Complete set",Dress,SS2021,39.99,12.11,35199,35199,,8,F,2020/12/5,12,34,NAVY,BLUE,BLUES,PLANA,NOVEDAD,Short,,,,,,,,Oversize,,,,,,,Flowers,"[COMPOSITION -> [[POLYESTER, 100.0%]], LINING -> [[POLYESTER, 100.0%]], PIPING -> [[POLYESTER, 100.0%]]]","Flowy fabric, floral print, short design, wide design, rounded neck, long puffed sleeves, elastic cuffs.",2020,"[1000,1500]",TRUE,FALSE,163,52,16,2,99.99,0,39.99,5,24637,42301,739400.53,1346585.79,21724,39012,682838.46,1280006.23,2100,4200,5869,6896,7438,7861,8236,9119,11113,12732,14117,14822,15416,15788,16298,17152,17900,18654,19223,19595,Dresses,Dress,35199,8,1,NAVY,BLUE,PLANA,Short,no aplica,no aplica,Oversize,2020,1,0,163,52,16,2,5,24638,739394.18,1171,103,0.699963067,0,82,39.99,0,0,0,14870740,7618.21,0.17,12881297,7690.33,0.14,34493384,7651.59,0.39,2827903,9211.41,0.03,13171953,11909.54,0.15,10625361,9677.01,0.12,2252046,6565.73,0.03,78076056,10345.31,0.88,37783016,11836.78,0.42,2,1,6,3,4,6,1,1,1,0.908817637,-0.417193603,8.7544,6583.66113,0.40175,913.53984,199.42007,82.59035,27.90328,0.49897,0.79981,0,12374860.24,32015467.37,9963968.433,-399.31342,467.08044
7994,87051506-01,Dresses,Dresses,T8,Dress-DUCKY,"Dresses, jumpsuits and Complete set",Dress,SS2021,29.99,7.81,4375,4375,,14,F,2021/1/12,1,60,BLANCO,WHITE,WHITES,PLANA,FONDO DE ARMARIO,Short,,Shirt-style collar,Light,,Short,Lining only,,Straight,Neck,,,,,Without Fantasy,Without Print,"[COMPOSITION -> [[COTTON, 100.0%]], LINING -> [[COTTON, 100.0%]]]","100% Cotton, openwork details, flared design, midi design, rounded neck, sleeveless, interior cotton lining.",2021,"[1000,1500]",FALSE,FALSE,146,67,14,7,99.99,0,39.99,4,3853,5346,89382.75,136271.05,1847,3249,61716.32,107213.01,124,315,509,690,761,774,790,1105,1510,1687,1719,1739,1712,1760,1763,1748,1780,1804,1850,1869,Dresses,Dress,4375,14,1,BLANCO,WHITE,PLANA,Short,Shirt-style collar,no aplica,Straight,2021,0,0,145,66,13,6,4,3852,89377.48,94,86,0.880457143,0,82,29.99,-10,-10,0,14870740,7618.21,0.17,12881297,7690.33,0.14,34493384,7651.59,0.39,6107065,12696.6,0.07,26789590,10213.34,0.3,10625361,9677.01,0.12,50803156,10213.74,0.57,78076056,10345.31,0.88,7046916,7718.42,0.08,2,1,3,1,4,1,1,4,1,0.97874008,0.2051045,9.2581,3290.90733,0.51345,399.21948,106.44371,47.78834,27.37499,0.49952,0.60053,0.90049,10872562.93,28514509.44,6242301.015,-319.77286,206.34866
2003,87052009-08,Dresses,Dresses,T8,Dress-LOUISAC,"Dresses, jumpsuits and Complete set",Dress,SS2021,29.99,6.87,3471,3471,,10,F,2021/1/17,1,67,BEIGE,WHITE,BEIGE TONES,PLANA,FONDO DE ARMARIO,Short,,Shirt-style collar,,,Wide Strap,,,Slim,,,,,,Without Fantasy,Stripes,"[COMPOSITION -> [[RECYCLED VISCOSE, 45.0%], [RECYCLED VISCOSE, 45.0%], [COTTON, 40.0%], [LINEN, 15.0%]]]","Fabric with cotton, fabric with linen, short design, flared design, shirt-style, lapel-collar, sleeveless, removable belt, two pockets with flaps on the front.",2021,"[1000,1500]",FALSE,FALSE,139,63,8,4,99.99,0,39.99,4,2072,3078,49636.51,81304.71,1219,2216,38298,69747.77,111,153,210,287,353,412,476,555,641,739,878,978,977,1015,1090,1138,1158,1200,1223,1251,Dresses,Dress,3471,10,1,BEIGE,WHITE,PLANA,Short,Shirt-style collar,no aplica,Slim,2021,0,0,138,63,8,4,4,2073,49661.28,81,79,0.597234226,0,82,29.99,-10,-10,0,14870740,7618.21,0.17,12881297,7690.33,0.14,34493384,7651.59,0.39,2345668,7518.17,0.03,26789590,10213.34,0.3,10625361,9677.01,0.12,11998617,9388.59,0.13,78076056,10345.31,0.88,7046916,7718.42,0.08,2,1,6,1,4,2,1,4,1,0.957485188,0.288482433,9.1357,4944.84476,0.42917,490.91358,127.58583,60.62452,21.34022,0.40084,0.40126,0.60105,9686513.451,25383267.96,2088230.755,8.39438,236.35194
5108,87054021-99,Shorts,Skirts,T8,Skirt-PEKINLAT,Bottoms,Skirt,SS2021,15.99,3.89,2800,2800,,14,F,2021/3/19,3,99,NEGRO,GREY,BLACKS,CIRCULAR,FONDO DE ARMARIO,Short,,,,,,,Regular Waist,Pencil,,,,,,Without Fantasy,Without Print,"[COMPOSITION -> [[VISCOSE, 69.0%], [ELASTANE, 5.0%], [POLYAMIDE, 26.0%]]]","Fine knit fabric, pencil design, short design, elastic waist, back slit.",2021,"[1000,1500]",FALSE,FALSE,56,9,10,2,49.99,15.99,29.99,5,2050,2686,21028.84,31232.59,970,1606,15526.98,25730.73,411,495,583,627,661,694,736,776,845,910,975,1029,1059,1048,1007,979,977,979,977,969,Shorts,Skirt,2800,14,1,NEGRO,GREY,CIRCULAR,Short,no aplica,no aplica,Pencil,2021,0,0,56,9,10,2,5,2050,21029.13,79,73,0.732142857,0,82,0,-14,-14,0,4419371,6916.07,0.05,3029315,6472.9,0.03,29588046,13891.1,0.33,19196426,11000.82,0.22,26142268,11754.62,0.29,10625361,9677.01,0.12,335502,5325.43,0,78076056,10345.31,0.88,37783016,11836.78,0.42,6,2,1,2,4,8,1,1,1,0.226115686,0.974100455,9.1532,7734.92416,0.64779,827.72976,295.0662,107.73646,18.12765,0.40276,0.70159,0.20082,2271394.721,27078736.51,13025063.07,-583.51714,853.71197
5320,87054758-08,Jackets,Blazers,T8,Blazer-CHARLOTT,Outerwear,Blazer,SS2021,49.99,14.2,29081,29081,,12,F,2021/3/6,3,67,BEIGE,WHITE,BEIGE TONES,PLANA,FONDO DE ARMARIO,Standard,,Flap,Heavy,,Long,Lining only,,Straight,Front Closure,,,,,Without Fantasy,Without Print,"[COMPOSITION -> [[POLYESTER, 65.0%], [VISCOSE, 33.0%], [ELASTANE, 2.0%]], LINING -> [[POLYESTER, 100.0%]]]","Check-pattern, straight design, structured, lapel-collar, long sleeve with buttoned cuffs, side pockets, button fastening on the front section, inner lining, front slit.",2021,"[1000,1500]",FALSE,FALSE,33,14,4,0,199.99,29.99,49.99,5,9181,14349,414340.5,666069.57,8223,13365,393139.67,643749.6,1291,1906,2484,3159,3768,4278,4782,5398,6054,6508,6993,7553,8095,8501,8658,8647,8584,8481,8377,8299,Jackets,Blazer,29081,12,1,BEIGE,WHITE,PLANA,Standard,Flap,no aplica,Straight,2021,0,0,33,14,4,0,5,9177,414174.8,811,94,0.315566865,0,82,20,0,0,0,3730826,7708.32,0.04,1938543,8077.26,0.02,34493384,7651.59,0.39,2345668,7518.17,0.03,26789590,10213.34,0.3,2061,1030.5,0,50803156,10213.74,0.57,78076056,10345.31,0.88,2297756,7364.6,0.03,7,1,6,1,8,1,1,7,1,0.436651232,0.89963087,8.8016,8627.57718,0.56536,853.01016,164.08749,114.34316,13.22464,0,0,0,553580.1402,13738097.53,542029.7114,193.14292,388.90159
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,